FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-29.351059,-4.165463,-21.439743,1.494762,503.054779,5.855052
-29.231937,-4.076359,-21.39126,1.453732,503.988953,5.430324
-29.111534,-3.984359,-21.345058,1.412669,504.896149,5.020084
-28.989895,-3.88989,-21.301199,1.371652,505.776215,4.624216
-28.867096,-3.793389,-21.259735,1.330765,506.628937,4.242656
-28.743227,-3.695271,-21.220713,1.290082,507.454224,3.875285
-28.61837,-3.595898,-21.184175,1.249679,508.251709,3.522043
-28.492584,-3.495565,-21.150148,1.209644,509.021332,3.18281
-28.365881,-3.394501,-21.11866,1.170072,509.762817,2.857408
-28.23826,-3.292907,-21.089733,1.131055,510.476105,2.545655
-28.109718,-3.190988,-21.063389,1.092676,511.161133,2.247316
-27.980274,-3.088977,-21.039642,1.055014,511.817932,1.96215
-27.849993,-2.987142,-21.018507,1.018152,512.44635,1.689917
-27.718958,-2.885766,-20.999981,0.982165,513.046509,1.430381
-27.587273,-2.785119,-20.98407,0.947099,513.618286,1.183301
-27.455021,-2.68543,-20.970776,0.912972,514.161682,0.948379
-27.322256,-2.586857,-20.960104,0.879784,514.676575,0.725376
-27.188984,-2.489492,-20.952042,0.84753,515.163025,0.513994
-27.055189,-2.393393,-20.946577,0.816196,515.621033,0.313996
-26.920847,-2.29862,-20.943684,0.785753,516.05072,0.125022
-26.785971,0,-20.943325,0,516.452332,0
-26.650593,0,-20.945459,0,516.825806,0
-26.514771,0,-20.950029,0,517.171387,0
-26.378561,0,-20.95698,0,517.489136,0
-26.241997,0,-20.966261,0,517.779175,0
-26.105076,0,-20.977816,0,518.041687,0
-25.967766,0,-20.991589,0,518.276855,0
-25.830019,0,-21.007521,0,518.484741,0
-25.691795,0,-21.025543,0,518.66571,0
-25.55307,0,-21.04558,0,518.820129,0
-25.413858,0,-21.067543,0,518.948242,0
-25.274193,0,-21.091322,0,519.050354,0
-25.134102,0,-21.116804,0,519.12677,0
-24.993616,0,-21.143877,0,519.177856,0
-24.852726,0,-21.172447,0,519.203979,0
-24.711405,0,-21.202414,0,519.205261,0
-24.569618,0,-21.233685,0,519.182312,0
-24.427343,0,-21.266169,0,519.135437,0
-24.284575,0,-21.29977,0,519.065125,0
-24.141331,0,-21.334391,0,518.971863,0
-23.997646,0,-21.369911,0,518.856201,0
-23.853573,0,-21.406206,0,518.718567,0
-23.709143,0,-21.443146,0,518.559509,0
-23.564375,0,-21.480598,0,518.379211,0
-23.419268,0,-21.518438,0,518.178345,0
-23.273815,0,-21.556545,0,517.957397,0
-23.128008,0,-21.594812,0,517.716858,0
-22.981859,0,-21.633139,0,517.457275,0
-22.835392,0,-21.671427,0,517.179382,0
-22.688656,0,-21.709578,0,516.883606,0
-22.541706,0,-21.747484,0,516.570496,0
-22.394596,0,-21.785036,0,516.240601,0
-22.247362,0,-21.822128,0,515.894348,0
-22.100019,0,-21.85865,0,515.532288,0
-21.952562,0,-21.894495,0,515.154968,0
-21.804989,0,-21.929565,0,514.762878,0
-21.657293,0,-21.963758,0,514.356689,0
-21.509501,0,-21.996998,0,513.936829,0
-21.361654,0,-22.029192,0,513.504028,0
-21.213823,0,-22.060263,0,513.058777,0
-21.066072,0,-22.090134,0,512.601501,0
-20.918457,0,-22.118729,0,512.132813,0
-20.771011,0,-22.145973,0,511.653046,0
-20.623764,0,-22.171799,0,511.162811,0
-20.476725,0,-22.196142,0,510.662628,0
-20.32992,0,-22.218935,0,510.153137,0
-20.183388,0,-22.240114,0,509.634827,0
-20.037193,0,-22.259621,0,509.108276,0
-19.891422,0,-22.277397,0,508.573944,0
-19.746162,0,-22.293396,0,508.032379,0
-19.601501,0,-22.307579,0,507.484131,0
-19.457502,0,-22.319918,0,506.929565,0
-19.314213,0,-22.330385,0,506.369354,0
-19.171675,0,-22.338968,0,505.803925,0
-19.029928,0,-22.345648,0,505.233948,0
-18.889015,0,-22.35042,0,504.659882,0
-18.748999,0,-22.353271,0,504.082275,0
-18.609955,0,-22.354193,0,503.501587,0
-18.471956,0,-22.353172,0,502.918365,0
-18.335079,0,-22.350206,0,502.333069,0
-18.199379,0,-22.345301,0,501.746185,0
-18.064905,0,-22.338469,0,501.158173,0
-17.9317,0,-22.329737,0,500.569641,0
-17.799795,0,-22.319136,0,499.981049,0
-17.669222,0,-22.306696,0,499.392853,0
-17.540018,0,-22.292458,0,498.805603,0
-17.412214,0,-22.276466,0,498.219727,0
-17.285852,0,-22.258743,0,497.635773,0
-17.160976,0,-22.239319,0,497.054108,0
-17.037632,0,-22.218222,0,496.475189,0
-16.915863,0,-22.195496,0,495.899475,0
-16.795696,0,-22.171186,0,495.327393,0
-16.677149,0,-22.145359,0,494.759399,0
