Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
33722,-1.63,10.36,-4.7,36.1,-24.48,-87.83,-0.88,0.03,-0.1,1
33970,-6.1,15.92,-16.05,44.48,-28.25,-100.91,0.57,-1.48,1.41,1
34215,3.82,1.79,-4.98,36.1,-24.09,-92.5,-1.15,0.56,-0.08,1
34463,-6.39,4.9,-11.04,20.42,-19.67,-101.18,-1.15,-0.92,0.5,1
34717,-1.37,9.79,-3.25,23.57,-18.31,-88.19,-2.25,-0.32,-0.25,1
34963,-0.0,13.48,-0.64,34.32,-20.81,-93.36,1.68,-3.01,0.15,1
35211,2.66,1.57,-6.19,26.62,-21.57,-110.07,0.43,1.74,-0.38,1
35457,16.44,7.25,-5.76,31.32,-22.43,-106.71,-2.01,1.92,-1.26,1
35704,-2.39,9.54,-3.88,30.04,-22.08,-88.75,-2.23,-0.43,-0.17,1
35952,3.68,15.44,9.52,34.93,-22.36,-85.03,3.34,-0.79,-0.94,1
36198,0.12,3.27,-7.47,28.33,-22.49,-108.04,1.54,1.69,0.16,1
36454,7.57,1.75,-4.51,30.3,-22.08,-108.27,-1.52,1.22,-0.34,1
36700,-0.94,8.83,-2.2,32.21,-22.1,-92.28,-2.5,-0.49,-0.39,1
36947,-1.84,19.6,0.35,37.33,-15.84,-78.81,1.38,0.1,-0.42,1
37193,-1.25,5.85,-9.54,31.85,-22.96,-100.29,2.04,1.63,0.91,1
37441,-6.09,13.38,-6.18,30.8,-21.79,-96.38,-2.76,-1.74,1.72,1
37687,0.54,9.24,-2.88,32.49,-18.12,-81.41,-2.8,-0.38,-0.33,1
37935,-5.68,12.88,1.43,36.57,-6.37,-67.98,1.34,-0.02,-0.23,1
38180,-1.82,7.4,-10.54,28.63,-21.09,-81.7,2.06,2.59,0.55,1
38434,-3.92,14.55,-0.87,18.15,-24.16,-80.61,-1.19,-1.46,0.98,1
38682,-0.89,8.07,-2.4,16.31,-17.2,-68.82,-2.28,-0.82,-0.31,1
38930,0.26,11.46,-0.08,17.1,-0.72,-56.61,-0.37,0.18,-0.48,1
39176,-0.55,8.74,-7.77,9.57,-20.55,-70.52,2.36,1.87,0.77,1
39424,6.52,3.35,19.6,-3.96,-24.0,-81.76,2.19,-0.45,0.64,1
39669,-1.08,9.37,-1.98,-5.95,-20.08,-75.3,-1.59,0.19,-0.54,1
39917,-0.28,11.23,0.26,-3.1,-6.17,-59.28,-1.16,0.05,-0.33,1
40171,2.16,11.49,-7.16,-3.81,-20.13,-72.74,3.11,1.45,0.93,1
40419,3.39,19.6,4.35,-11.5,-21.54,-87.01,4.49,2.42,0.76,1
40665,-2.32,9.38,-2.79,-13.69,-20.61,-85.02,-1.41,0.32,-0.24,1
40912,-0.21,11.22,-2.3,-10.65,-11.2,-67.57,-1.27,0.18,-0.22,1
41160,-4.5,15.03,-11.56,-7.59,-18.81,-76.62,2.56,1.8,1.77,1
41408,-1.89,12.89,-5.07,-15.21,-19.12,-92.79,-0.59,1.77,-0.41,1
41654,-3.51,8.56,-3.27,-14.1,-20.33,-94.07,-1.14,0.12,0.07,1
41908,-0.4,9.8,-1.68,-9.88,-17.92,-75.48,-2.16,0.87,-0.84,1
42156,-6.71,14.6,-13.1,-9.49,-23.65,-88.02,2.16,2.62,1.76,1
42403,0.83,11.93,-1.4,-11.31,-21.54,-110.3,-1.11,2.86,-0.19,1
42649,7.32,12.19,-3.12,-9.13,-21.19,-115.43,-0.99,-0.55,0.79,1
42897,0.02,9.69,-2.6,-6.37,-26.24,-92.55,-2.48,0.38,-0.71,1
43145,-8.07,14.13,-14.19,-1.32,-27.45,-99.47,0.25,-1.32,1.56,1
43390,6.57,2.32,-4.24,-2.54,-16.91,-119.72,-1.68,0.72,-0.53,1
43640,-3.31,8.75,-10.95,-1.42,-16.66,-121.34,-1.23,0.76,-0.02,1
43898,-1.62,9.34,-4.8,-4.62,-24.33,-100.53,-1.59,-0.08,0.03,1
44146,1.74,11.07,-12.89,-4.98,-25.43,-100.48,0.78,-4.15,0.75,1
44394,-1.18,3.42,-5.52,-19.54,-15.2,-109.65,-1.06,-0.12,0.13,1
44640,-2.05,10.8,-9.99,-22.77,-16.56,-106.39,-1.21,-2.26,0.41,1
44888,-3.19,8.88,-3.25,-24.29,-14.89,-80.87,-1.92,-0.22,-0.25,1
45135,-0.09,14.51,-3.46,-12.39,-20.74,-73.28,2.12,-3.6,0.04,1
45381,2.73,1.23,-6.59,-20.67,-19.48,-91.3,0.21,1.43,-0.31,1
45635,5.98,7.32,-11.69,-18.72,-21.19,-95.64,-2.1,-2.79,-0.46,1
45883,-1.93,9.3,-5.57,-16.49,-15.46,-74.26,-2.35,-0.45,-0.34,1
46131,5.34,19.6,3.74,-7.19,-18.78,-69.7,3.52,-2.13,-0.82,1
46379,1.61,2.71,-7.57,-15.0,-21.12,-88.26,1.21,1.81,-0.19,1
46624,-0.6,4.81,7.76,-15.71,-22.07,-96.43,1.1,3.37,-0.08,1
46872,-1.2,7.55,-1.42,-15.42,-17.73,-77.46,-2.81,-1.47,-0.17,1
47120,-2.88,19.6,9.8,-8.27,-16.76,-68.46,2.84,-1.32,0.09,1
47374,2.61,3.34,-3.93,-11.96,-23.14,-87.05,1.06,0.26,-0.29,1
47622,2.72,3.97,9.65,-12.25,-24.38,-92.93,0.86,3.11,-0.24,1
47867,1.74,8.36,-1.24,-11.17,-17.49,-72.29,-3.13,-2.0,-0.25,1
48115,-1.41,18.66,4.74,-2.63,-9.82,-58.78,2.92,-0.15,0.03,1
48363,2.55,4.6,-5.32,-6.15,-24.42,-80.44,1.79,0.24,0.32,1
48609,-8.87,19.01,-1.43,-8.81,-23.6,-83.98,-0.71,-1.49,0.57,1
48857,1.13,9.29,-2.08,-7.35,-18.5,-70.2,-2.78,-1.06,-0.06,1
49104,-5.66,15.2,1.78,0.73,-3.41,-55.35,-0.15,-1.09,0.02,1
49358,-1.96,6.32,-8.24,3.81,-23.84,-73.43,1.87,0.43,0.75,1
49604,6.9,8.88,5.21,-2.19,-27.36,-86.23,-0.09,-3.09,-0.76,1
49852,1.26,8.25,-0.97,-2.69,-22.7,-73.84,-2.16,-0.93,-0.22,1
50100,2.87,12.85,1.47,3.7,-6.31,-56.18,-1.2,-0.03,-0.38,1
50345,1.42,8.0,-5.76,-1.02,-22.61,-72.96,2.14,0.72,0.53,1
50593,10.81,3.83,19.6,-8.45,-25.97,-88.51,3.76,1.21,0.2,1
50839,-0.47,9.26,-2.21,-8.4,-23.91,-82.21,-1.65,0.15,-0.45,1
51095,0.82,12.15,-1.39,-3.9,-13.52,-62.07,-0.97,-0.05,-0.53,1
51343,0.74,10.32,-5.46,-8.23,-25.05,-80.09,3.01,1.8,1.11,1
51589,0.02,19.6,3.52,-12.23,-25.53,-98.66,1.34,2.36,-0.3,1
